time_stamp longitude longitude altitude
0.000000000 49.00934776 8.437134431 114.4565201 1
0.109994888 49.00934487 8.437149918 114.4538727 2
0.210042954 49.00934226 8.437164054 114.4587479 3
0.310052872 49.00933964 8.437178154 114.4625015 4
0.419983864 49.00933673 8.437193662 114.4618149 5
0.520004034 49.0093341 8.437207731 114.4576569 6
0.630076885 49.00933122 8.437223187 114.4518433 7
0.730154038 49.00932864 8.437237301 114.4435577 8
0.830022812 49.00932613 8.437251531 114.4349213 9
0.940022946 49.00932339 8.43726718 114.4267883 10
1.040035010 49.00932079 8.437281292 114.4237823 11
1.139995814 49.00931798 8.437295342 114.4273453 12
1.250138998 49.00931501 8.437310681 114.4261475 13
1.350070000 49.00931227 8.437324587 114.4269867 14
1.450048924 49.00930959 8.437338439 114.4271164 15
1.560039044 49.00930665 8.437353608 114.4277191 16
1.660054922 49.00930402 8.437367335 114.4257812 17
1.760072947 49.00930139 8.437381016 114.4228287 18
1.870064974 49.0092985 8.437395993 114.419136 19
1.970059872 49.00929592 8.437409562 114.4131851 20
2.070091009 49.00929335 8.437423052 114.4074707 21
2.180065870 49.00929056 8.437437892 114.4078522 22
2.280072928 49.009288 8.437451354 114.4112091 23
2.380101919 49.00928546 8.43746477 114.4088135 24
2.490053892 49.00928266 8.437479521 114.4054718 25
2.590071917 49.00927975 8.437492914 114.3980789 26
2.690076828 49.00927719 8.437506426 114.4086456 27
2.800181866 49.00927437 8.437521306 114.4232407 28
2.900113821 49.00927181 8.437534854 114.434021 29
3.000102997 49.00926885 8.437548618 114.4526825 30
3.110131979 49.00926609 8.437563694 114.4600601 31
3.210320950 49.00926362 8.437577365 114.4658203 32
3.320159912 49.00926084 8.437592401 114.4639969 33
3.420084000 49.00925803 8.437606287 114.4812164 34
3.520176888 49.00925531 8.437620177 114.4888077 35
3.630147934 49.0092523 8.437635537 114.4963837 36
3.730384827 49.00924959 8.43764948 114.4964828 37
3.830142975 49.00924686 8.437663445 114.4944153 38
3.940163851 49.00924383 8.437678804 114.4849014 39
4.040139914 49.0092411 8.437692681 114.4611969 40
4.140152931 49.00923838 8.437706672 114.441452 41
4.250291824 49.00923533 8.437722247 114.4315262 42
4.350216866 49.00923228 8.437736208 114.4075851 43
4.450163841 49.00922923 8.437750294 114.3905258 44
4.560168982 49.00922581 8.437765917 114.3840179 45
4.660189867 49.00922273 8.437780214 114.3774872 46
4.760207892 49.0092196 8.437794518 114.3736115 47
4.870229006 49.00921612 8.437810272 114.3787384 48
4.970168829 49.00921301 8.437824674 114.3901367 49
5.070231915 49.00920991 8.437839117 114.402832 50
5.180199862 49.0092066 8.437854998 114.4061432 51
5.280198813 49.00920358 8.437869435 114.4179688 52
5.380210877 49.00920059 8.437883878 114.4297867 53
5.490195990 49.00919748 8.437899812 114.441658 54
5.590205908 49.00919463 8.437914337 114.4525528 55
5.700318813 49.0091916 8.43793027 114.4713211 56
5.800335884 49.00918874 8.437944745 114.4836197 57
5.900187016 49.00918586 8.437959237 114.5020065 58
6.000216007 49.009183 8.437973761 114.5268784 59
6.110245943 49.00917975 8.43798971 114.5486984 60
6.210436821 49.00917683 8.438004228 114.5716171 61
6.310294867 49.00917392 8.438018728 114.583931 62
6.420284033 49.00917082 8.438034827 114.5912552 63
6.520248890 49.00916794 8.438049472 114.598671 64
6.620247841 49.00916508 8.438064128 114.5971298 65
6.730547905 49.00916195 8.438080303 114.6010818 66
6.830286026 49.00915912 8.438095032 114.6069565 67
6.930271864 49.00915633 8.438109784 114.6065521 68
7.040284872 49.00915331 8.438125944 114.6084442 69
7.140283823 49.00915067 8.43814068 114.6151276 70
7.240525961 49.00914802 8.438155424 114.6165009 71
7.350363016 49.00914513 8.438171674 114.6121902 72
7.450309038 49.00914248 8.438186482 114.6063004 73
7.560276032 49.00913961 8.438202814 114.5949707 74
7.660323858 49.00913695 8.438217675 114.5896225 75
7.760344982 49.00913424 8.438232528 114.5852509 76
7.870285034 49.00913123 8.43824885 114.5803375 77
7.970319033 49.00912852 8.438263735 114.5730438 78
8.070340872 49.00912577 8.438278648 114.5636978 79
8.180328846 49.00912275 8.438295122 114.5530396 80
8.280315876 49.00911998 8.438310126 114.5480652 81
8.380316973 49.00911724 8.438325142 114.5422287 82
8.490298987 49.00911423 8.438341652 114.5361557 83
8.590298891 49.00911158 8.438356582 114.5185318 84
8.690337896 49.00910892 8.438371491 114.5032272 85
8.800361872 49.00910598 8.438387841 114.4852066 86
8.900352001 49.0091033 8.438402698 114.4719772 87
9.000344992 49.00910062 8.438417513 114.4584274 88
9.110369921 49.00909768 8.438433781 114.4457245 89
9.210351944 49.00909498 8.43844851 114.4322433 90
9.320400953 49.00909199 8.438464672 114.4241104 91
9.420336962 49.00908925 8.438479331 114.4187698 92
9.520372868 49.00908648 8.43849399 114.4189835 93
9.630401850 49.00908341 8.438510073 114.4243393 94
9.730536938 49.00908062 8.438524656 114.4276199 95
9.830394983 49.00907781 8.438539234 114.4275589 96
9.940414906 49.00907481 8.438555304 114.4214935 97
10.040405035 49.00907209 8.438569909 114.4178925 98
10.140393973 49.00906946 8.438584592 114.4217834 99
10.250567913 49.00906649 8.438600741 114.4251099 100
10.350442886 49.00906386 8.438615513 114.4329758 101
10.450389862 49.00906119 8.438630261 114.4351654 102
10.560415983 49.00905828 8.438646512 114.4389191 103
10.660423994 49.0090556 8.438661234 114.4395599 104
10.760430813 49.0090529 8.438675959 114.444458 105
10.870443821 49.00904996 8.438692145 114.4662628 106
10.970402956 49.00904734 8.438706725 114.4812622 107
11.070467949 49.00904475 8.438721263 114.4971161 108
11.180451870 49.00904187 8.438737214 114.5046768 109
11.280563831 49.00903927 8.438751715 114.5191727 110
11.380568028 49.00903671 8.438766182 114.528511 111
11.490491867 49.00903395 8.438782053 114.5417175 112
11.590427876 49.0090314 8.438796423 114.5499878 113
11.690519810 49.00902885 8.438810741 114.5566788 114
11.800498963 49.00902626 8.438826305 114.5574722 115
11.900486946 49.00902384 8.438840429 114.5558167 116
12.010479927 49.0090212 8.438855899 114.5564651 117
12.110484839 49.00901874 8.43886985 114.5440903 118
12.210696936 49.0090164 8.438883795 114.5411758 119
12.320567846 49.00901368 8.438899127 114.5399475 120
12.420482874 49.00901144 8.438913145 114.5452881 121
12.520498991 49.00900909 8.438927055 114.5427856 122
12.630584002 49.00900653 8.43894232 114.5424347 123
12.730684042 49.00900414 8.43895615 114.5433426 124
12.830538035 49.00900172 8.438969901 114.5384674 125
12.940522909 49.00899906 8.438985004 114.5342407 126
13.040511847 49.00899658 8.438998761 114.5388336 127
13.140516997 49.00899414 8.43901251 114.5469589 128
13.250649929 49.00899143 8.43902746 114.547905 129
13.350565910 49.00898898 8.439041118 114.5568008 130
13.450548887 49.00898654 8.43905466 114.5596161 131
13.560556889 49.0089839 8.439069404 114.5581284 132
13.660542965 49.00898143 8.439082605 114.5477753 133
13.760586023 49.00897894 8.439095718 114.5332336 134
13.870575905 49.00897618 8.439110072 114.519104 135
13.970546961 49.00897367 8.439123085 114.5126343 136
14.080540896 49.00897095 8.439137349 114.5107346 137
14.180598021 49.00896854 8.439150246 114.5111313 138
14.280589819 49.0089661 8.439163118 114.5104523 139
14.390589953 49.00896347 8.43917714 114.5057907 140
14.490617991 49.00896107 8.439189805 114.4976501 141
14.590569973 49.00895868 8.439202327 114.4897079 142
14.700690031 49.00895607 8.439215948 114.4845047 143
14.800611973 49.00895371 8.439228151 114.4825516 144
14.900604010 49.00895136 8.439240194 114.4834595 145
15.010610819 49.00894879 8.439253237 114.4857635 146
15.110560894 49.00894648 8.439264908 114.4868927 147
15.210701943 49.00894419 8.439276407 114.4858551 148
15.320619822 49.00894169 8.439288829 114.482132 149
15.420601845 49.00893946 8.439299942 114.4674835 150
15.530611992 49.00893704 8.439311956 114.4546738 151
15.630662918 49.00893486 8.439322671 114.443161 152
15.730860949 49.00893272 8.439333193 114.4355087 153
15.840636015 49.0089304 8.439344524 114.43013 154
15.940639019 49.00892831 8.439354596 114.4275131 155
16.040644884 49.00892625 8.439364451 114.4247742 156
16.150653839 49.00892404 8.439375024 114.4195633 157
16.250787020 49.0089221 8.439384396 114.4137268 158
16.350625992 49.00892018 8.439393497 114.4079895 159
16.460608006 49.00891812 8.439403239 114.4027634 160
16.560688019 49.00891631 8.439411813 114.4003296 161
16.660661936 49.00891456 8.439420158 114.399559 162
16.770717859 49.00891266 8.439429059 114.3997574 163
